puntos,comision,produccion
6750,0.02,135000.0
6751,0.02,135020.0
6752,0.02,135040.0
6753,0.02,135060.0
6754,0.02,135080.0
6755,0.02,135100.0
6756,0.02,135120.0
6757,0.02,135140.0
6758,0.02,135160.0
6759,0.02,135180.0
6760,0.02,135200.0
6761,0.02,135220.0
6762,0.02,135240.0
6763,0.02,135260.0
6764,0.02,135280.0
6765,0.02,135300.0
6766,0.02,135320.0
6767,0.02,135340.0
6768,0.02,135360.0
6769,0.02,135380.0
6770,0.02,135400.0
6771,0.02,135420.0
6772,0.02,135440.0
6773,0.02,135460.0
6774,0.02,135480.0
6775,0.02,135500.0
6776,0.02,135520.0
6777,0.02,135540.0
6778,0.02,135560.0
6779,0.02,135580.0
6780,0.02,135600.0
6781,0.02,135620.0
6782,0.02,135640.0
6783,0.02,135660.0
6784,0.02,135680.0
6785,0.02,135700.0
6786,0.02,135720.0
6787,0.02,135740.0
6788,0.02,135760.0
6789,0.02,135780.0
6790,0.02,135800.0
6791,0.02,135820.0
6792,0.02,135840.0
6793,0.02,135860.0
6794,0.02,135880.0
6795,0.02,135900.0
6796,0.02,135920.0
6797,0.02,135940.0
6798,0.02,135960.0
6799,0.02,135980.0
6800,0.02,136000.0
6801,0.02,136020.0
6802,0.02,136040.0
6803,0.02,136060.0
6804,0.02,136080.0
6805,0.02,136100.0
6806,0.02,136120.0
6807,0.02,136140.0
6808,0.02,136160.0
6809,0.02,136180.0
6810,0.02,136200.0
6811,0.02,136220.0
6812,0.02,136240.0
6813,0.02,136260.0
6814,0.02,136280.0
6815,0.02,136300.0
6816,0.02,136320.0
6817,0.02,136340.0
6818,0.02,136360.0
6819,0.02,136380.0
6820,0.02,136400.0
6821,0.02,136420.0
6822,0.02,136440.0
6823,0.02,136460.0
6824,0.02,136480.0
6825,0.02,136500.0
6826,0.02,136520.0
6827,0.02,136540.0
6828,0.02,136560.0
6829,0.02,136580.0
6830,0.02,136600.0
6831,0.02,136620.0
6832,0.02,136640.0
6833,0.02,136660.0
6834,0.02,136680.0
6835,0.02,136700.0
6836,0.02,136720.0
6837,0.02,136740.0
6838,0.02,136760.0
6839,0.02,136780.0
6840,0.02,136800.0
6841,0.02,136820.0
6842,0.02,136840.0
6843,0.02,136860.0
6844,0.02,136880.0
6845,0.02,136900.0
6846,0.02,136920.0
6847,0.02,136940.0
6848,0.02,136960.0
6849,0.02,136980.0
6850,0.02,137000.0
6851,0.02,137020.0
6852,0.02,137040.0
6853,0.02,137060.0
6854,0.02,137080.0
6855,0.02,137100.0
6856,0.02,137120.0
6857,0.02,137140.0
6858,0.02,137160.0
6859,0.02,137180.0
6860,0.02,137200.0
6861,0.02,137220.0
6862,0.02,137240.0
6863,0.02,137260.0
6864,0.02,137280.0
6865,0.02,137300.0
6866,0.02,137320.0
6867,0.02,137340.0
6868,0.02,137360.0
6869,0.02,137380.0
6870,0.02,137400.0
6871,0.02,137420.0
6872,0.02,137440.0
6873,0.02,137460.0
6874,0.02,137480.0
6875,0.02,137500.0
6876,0.02,137520.0
6877,0.02,137540.0
6878,0.02,137560.0
6879,0.02,137580.0
6880,0.02,137600.0
6881,0.02,137620.0
6882,0.02,137640.0
6883,0.02,137660.0
6884,0.02,137680.0
6885,0.02,137700.0
6886,0.02,137720.0
6887,0.02,137740.0
6888,0.02,137760.0
6889,0.02,137780.0
6890,0.02,137800.0
6891,0.02,137820.0
6892,0.02,137840.0
6893,0.02,137860.0
6894,0.02,137880.0
6895,0.02,137900.0
6896,0.02,137920.0
6897,0.02,137940.0
6898,0.02,137960.0
6899,0.02,137980.0
6900,0.02,138000.0
6901,0.02,138020.0
6902,0.02,138040.0
6903,0.02,138060.0
6904,0.02,138080.0
6905,0.02,138100.0
6906,0.02,138120.0
6907,0.02,138140.0
6908,0.02,138160.0
6909,0.02,138180.0
6910,0.02,138200.0
6911,0.02,138220.0
6912,0.02,138240.0
6913,0.02,138260.0
6914,0.02,138280.0
6915,0.02,138300.0
6916,0.02,138320.0
6917,0.02,138340.0
6918,0.02,138360.0
6919,0.02,138380.0
6920,0.02,138400.0
6921,0.02,138420.0
6922,0.02,138440.0
6923,0.02,138460.0
6924,0.02,138480.0
6925,0.02,138500.0
6926,0.02,138520.0
6927,0.02,138540.0
6928,0.02,138560.0
6929,0.02,138580.0
6930,0.02,138600.0
6931,0.02,138620.0
6932,0.02,138640.0
6933,0.02,138660.0
6934,0.02,138680.0
6935,0.02,138700.0
6936,0.02,138720.0
6937,0.02,138740.0
6938,0.02,138760.0
6939,0.02,138780.0
6940,0.02,138800.0
6941,0.02,138820.0
6942,0.02,138840.0
6943,0.02,138860.0
6944,0.02,138880.0
6945,0.02,138900.0
6946,0.02,138920.0
6947,0.02,138940.0
6948,0.02,138960.0
6949,0.02,138980.0
6950,0.02,139000.0
6951,0.02,139020.0
6952,0.02,139040.0
6953,0.02,139060.0
6954,0.02,139080.0
6955,0.02,139100.0
6956,0.02,139120.0
6957,0.02,139140.0
6958,0.02,139160.0
6959,0.02,139180.0
6960,0.02,139200.0
6961,0.02,139220.0
6962,0.02,139240.0
6963,0.02,139260.0
6964,0.02,139280.0
6965,0.02,139300.0
6966,0.02,139320.0
6967,0.02,139340.0
6968,0.02,139360.0
6969,0.02,139380.0
6970,0.02,139400.0
6971,0.02,139420.0
6972,0.02,139440.0
6973,0.02,139460.0
6974,0.02,139480.0
6975,0.02,139500.0
6976,0.02,139520.0
6977,0.02,139540.0
6978,0.02,139560.0
6979,0.02,139580.0
6980,0.02,139600.0
6981,0.02,139620.0
6982,0.02,139640.0
6983,0.02,139660.0
6984,0.02,139680.0
6985,0.02,139700.0
6986,0.02,139720.0
6987,0.02,139740.0
6988,0.02,139760.0
6989,0.02,139780.0
6990,0.02,139800.0
6991,0.02,139820.0
6992,0.02,139840.0
6993,0.02,139860.0
6994,0.02,139880.0
6995,0.02,139900.0
6996,0.02,139920.0
6997,0.02,139940.0
6998,0.02,139960.0
6999,0.02,139980.0
7000,0.02,140000.0
7001,0.03,210030.0
7002,0.03,210060.0
7003,0.03,210090.0
7004,0.03,210120.0
7005,0.03,210150.0
7006,0.03,210180.0
7007,0.03,210210.0
7008,0.03,210240.0
7009,0.03,210270.0
7010,0.03,210300.0
7011,0.03,210330.0
7012,0.03,210360.0
7013,0.03,210390.0
7014,0.03,210420.0
7015,0.03,210450.0
7016,0.03,210480.0
7017,0.03,210510.0
7018,0.03,210540.0
7019,0.03,210570.0
7020,0.03,210600.0
